year,station_no,station_name,josha_num,ward_office,meijo,meiko,kamiida,higashiyama,tsurumai,sakuradori,tokaido,chuo,kansai,kintetsu,lines
1994,2,志賀本通,1929027,0,1,1,,,,,,,,,2
1995,2,志賀本通,1978965,0,1,1,,,,,,,,,2
1996,2,志賀本通,1954500,0,1,1,,,,,,,,,2
1997,2,志賀本通,1913429,0,1,1,,,,,,,,,2
1998,2,志賀本通,1884344,0,1,1,,,,,,,,,2
1999,2,志賀本通,1778741,0,1,1,,,,,,,,,2
2000,2,志賀本通,1894013,0,1,1,,,,,,,,,2
2001,2,志賀本通,1950615,0,1,1,,,,,,,,,2
2002,2,志賀本通,1946198,0,1,1,,,,,,,,,2
2003,2,志賀本通,2103125,0,1,1,,,,,,,,,2
2004,2,志賀本通,2041346,0,1,1,,,,,,,,,2
2005,2,志賀本通,2079279,0,1,1,,,,,,,,,2
2006,2,志賀本通,2119602,0,1,1,,,,,,,,,2
2007,2,志賀本通,2226474,0,1,1,,,,,,,,,2
2008,2,志賀本通,2166396,0,1,1,,,,,,,,,2
2009,2,志賀本通,2142519,0,1,1,,,,,,,,,2
2010,2,志賀本通,2064100,0,1,1,,,,,,,,,2
2011,2,志賀本通,2077150,0,1,1,,,,,,,,,2
2012,2,志賀本通,2110851,0,1,1,,,,,,,,,2
2013,2,志賀本通,2149752,0,1,1,,,,,,,,,2
2014,2,志賀本通,2170858,0,1,1,,,,,,,,,2
2015,2,志賀本通,2280535,0,1,1,,,,,,,,,2
1991,3,黒川,4568916,1,1,1,,,,,,,,,2
1992,3,黒川,4482097,1,1,1,,,,,,,,,2
1993,3,黒川,4633788,1,1,1,,,,,,,,,2
1994,3,黒川,4600094,1,1,1,,,,,,,,,2
1995,3,黒川,4588017,1,1,1,,,,,,,,,2
1996,3,黒川,4625114,1,1,1,,,,,,,,,2
1997,3,黒川,4466803,1,1,1,,,,,,,,,2
1998,3,黒川,4394033,1,1,1,,,,,,,,,2
1999,3,黒川,4354582,1,1,1,,,,,,,,,2
2000,3,黒川,4891146,1,1,1,,,,,,,,,2
2001,3,黒川,5081568,1,1,1,,,,,,,,,2
2002,3,黒川,4726079,1,1,1,,,,,,,,,2
2003,3,黒川,5114826,1,1,1,,,,,,,,,2
2004,3,黒川,4935770,1,1,1,,,,,,,,,2
2005,3,黒川,5059561,1,1,1,,,,,,,,,2
2006,3,黒川,5107456,1,1,1,,,,,,,,,2
2007,3,黒川,4863088,1,1,1,,,,,,,,,2
2008,3,黒川,4844763,1,1,1,,,,,,,,,2
2009,3,黒川,4774441,1,1,1,,,,,,,,,2
2010,3,黒川,4699496,1,1,1,,,,,,,,,2
2011,3,黒川,4723563,1,1,1,,,,,,,,,2
2012,3,黒川,4845255,1,1,1,,,,,,,,,2
2013,3,黒川,4943361,1,1,1,,,,,,,,,2
2014,3,黒川,4939585,1,1,1,,,,,,,,,2
2015,3,黒川,5069276,1,1,1,,,,,,,,,2
1991,4,名城公園,1958769,0,1,1,,,,,,,,,2
1992,4,名城公園,1787287,0,1,1,,,,,,,,,2
1993,4,名城公園,1651400,0,1,1,,,,,,,,,2
1994,4,名城公園,1566398,0,1,1,,,,,,,,,2
1995,4,名城公園,1690368,0,1,1,,,,,,,,,2
1996,4,名城公園,1464735,0,1,1,,,,,,,,,2
1997,4,名城公園,1449008,0,1,1,,,,,,,,,2
1998,4,名城公園,1415187,0,1,1,,,,,,,,,2
1999,4,名城公園,1362695,0,1,1,,,,,,,,,2
2000,4,名城公園,1317818,0,1,1,,,,,,,,,2
2001,4,名城公園,1399893,0,1,1,,,,,,,,,2
2002,4,名城公園,1363151,0,1,1,,,,,,,,,2
2003,4,名城公園,1588315,0,1,1,,,,,,,,,2
2004,4,名城公園,1561842,0,1,1,,,,,,,,,2
2005,4,名城公園,1590561,0,1,1,,,,,,,,,2
2006,4,名城公園,1584039,0,1,1,,,,,,,,,2
2007,4,名城公園,1647189,0,1,1,,,,,,,,,2
2008,4,名城公園,1645648,0,1,1,,,,,,,,,2
2009,4,名城公園,1709898,0,1,1,,,,,,,,,2
2010,4,名城公園,1706826,0,1,1,,,,,,,,,2
2011,4,名城公園,1756900,0,1,1,,,,,,,,,2
2012,4,名城公園,1764349,0,1,1,,,,,,,,,2
2013,4,名城公園,1751576,0,1,1,,,,,,,,,2
2014,4,名城公園,1975990,0,1,1,,,,,,,,,2
2015,4,名城公園,2035595,0,1,1,,,,,,,,,2
1991,5,市役所,8406835,0,1,1,,,,,,,,,2
1992,5,市役所,8232887,0,1,1,,,,,,,,,2
1993,5,市役所,8035309,0,1,1,,,,,,,,,2
1994,5,市役所,7821458,0,1,1,,,,,,,,,2
1995,5,市役所,8024284,0,1,1,,,,,,,,,2
1996,5,市役所,7833471,0,1,1,,,,,,,,,2
1997,5,市役所,7865317,0,1,1,,,,,,,,,2
1998,5,市役所,7633735,0,1,1,,,,,,,,,2
1999,5,市役所,8124175,0,1,1,,,,,,,,,2
2000,5,市役所,7545657,0,1,1,,,,,,,,,2
2001,5,市役所,7990076,0,1,1,,,,,,,,,2
2002,5,市役所,7986895,0,1,1,,,,,,,,,2
2003,5,市役所,7861229,0,1,1,,,,,,,,,2
2004,5,市役所,6839597,0,1,1,,,,,,,,,2
2005,5,市役所,7368221,0,1,1,,,,,,,,,2
2006,5,市役所,7112442,0,1,1,,,,,,,,,2
2007,5,市役所,7166725,0,1,1,,,,,,,,,2
2008,5,市役所,7076285,0,1,1,,,,,,,,,2
2009,5,市役所,7123672,0,1,1,,,,,,,,,2
2010,5,市役所,7019292,0,1,1,,,,,,,,,2
2011,5,市役所,6979139,0,1,1,,,,,,,,,2
2012,5,市役所,7124855,0,1,1,,,,,,,,,2
2013,5,市役所,7335550,0,1,1,,,,,,,,,2
2014,5,市役所,7372970,0,1,1,,,,,,,,,2
2015,5,市役所,7510479,0,1,1,,,,,,,,,2
1991,6,久屋大通,3415337,0,1,1,,,,,,,,,2
1992,6,久屋大通,3477266,0,1,1,,,,,,,,,2
1993,6,久屋大通,3690269,0,1,1,,,,,,,,,2
1994,6,久屋大通,2952678,0,1,1,,,,,,,,,2
1995,6,久屋大通,3106020,0,1,1,,,,,,,,,2
1996,6,久屋大通,3068211,0,1,1,,,,,,,,,2
1997,6,久屋大通,3035520,0,1,1,,,,,,,,,2
1998,6,久屋大通,2982119,0,1,1,,,,,,,,,2
1999,6,久屋大通,3067106,0,1,1,,,,,,,,,2
2000,6,久屋大通,2897317,0,1,1,,,,,,,,,2
2001,6,久屋大通,3308057,0,1,1,,,,,,,,,2
2002,6,久屋大通,3344434,0,1,1,,,,,,,,,2
2003,6,久屋大通,3319381,0,1,1,,,,,,,,,2
2004,6,久屋大通,3125312,0,1,1,,,,,,,,,2
2005,6,久屋大通,3267645,0,1,1,,,,,,,,,2
2006,6,久屋大通,3359345,0,1,1,,,,,,,,,2
2007,6,久屋大通,3241540,0,1,1,,,,,,,,,2
2008,6,久屋大通,3238787,0,1,1,,,,,,,,,2
2009,6,久屋大通,3134577,0,1,1,,,,,,,,,2
2010,6,久屋大通,3139722,0,1,1,,,,,,,,,2
2011,6,久屋大通,3234092,0,1,1,,,,,,,,,2
2012,6,久屋大通,3331172,0,1,1,,,,,,,,,2
2013,6,久屋大通,3426392,0,1,1,,,,,,,,,2
2014,6,久屋大通,3469553,0,1,1,,,,,,,,,2
2015,6,久屋大通,3657214,0,1,1,,,,,,,,,2
1991,7,栄,12121428,1,1,1,,,,,,,,,2
1992,7,栄,11974525,1,1,1,,,,,,,,,2
1993,7,栄,12289445,1,1,1,,,,,,,,,2
1994,7,栄,11943014,1,1,1,,,,,,,,,2
1995,7,栄,11952772,1,1,1,,,,,,,,,2
1996,7,栄,11612316,1,1,1,,,,,,,,,2
1997,7,栄,12077267,1,1,1,,,,,,,,,2
1998,7,栄,11628093,1,1,1,,,,,,,,,2
1999,7,栄,11138657,1,1,1,,,,,,,,,2
2000,7,栄,10669514,1,1,1,,,,,,,,,2
2001,7,栄,11859858,1,1,1,,,,,,,,,2
2002,7,栄,11550811,1,1,1,,,,,,,,,2
2003,7,栄,12442306,1,1,1,,,,,,,,,2
2004,7,栄,12683846,1,1,1,,,,,,,,,2
2005,7,栄,12743873,1,1,1,,,,,,,,,2
2006,7,栄,12667290,1,1,1,,,,,,,,,2
2007,7,栄,12339713,1,1,1,,,,,,,,,2
2008,7,栄,12059350,1,1,1,,,,,,,,,2
2009,7,栄,11677998,1,1,1,,,,,,,,,2
2010,7,栄,11198804,1,1,1,,,,,,,,,2
2011,7,栄,12314448,1,1,1,,,,,,,,,2
2012,7,栄,12654366,1,1,1,,,,,,,,,2
2013,7,栄,13024738,1,1,1,,,,,,,,,2
2014,7,栄,13043623,1,1,1,,,,,,,,,2
2015,7,栄,13495760,1,1,1,,,,,,,,,2
1991,8,矢場町,8257436,0,1,1,,,,,,,,,2
1992,8,矢場町,8645144,0,1,1,,,,,,,,,2
1993,8,矢場町,7364617,0,1,1,,,,,,,,,2
1994,8,矢場町,8884633,0,1,1,,,,,,,,,2
1995,8,矢場町,8187194,0,1,1,,,,,,,,,2
1996,8,矢場町,8720445,0,1,1,,,,,,,,,2
1997,8,矢場町,8759467,0,1,1,,,,,,,,,2
1998,8,矢場町,9052404,0,1,1,,,,,,,,,2
1999,8,矢場町,8359207,0,1,1,,,,,,,,,2
2000,8,矢場町,7847273,0,1,1,,,,,,,,,2
2001,8,矢場町,8682030,0,1,1,,,,,,,,,2
2002,8,矢場町,8813672,0,1,1,,,,,,,,,2
2003,8,矢場町,9463671,0,1,1,,,,,,,,,2
2004,8,矢場町,10301511,0,1,1,,,,,,,,,2
2005,8,矢場町,9967480,0,1,1,,,,,,,,,2
2006,8,矢場町,10020064,0,1,1,,,,,,,,,2
2007,8,矢場町,9960391,0,1,1,,,,,,,,,2
2008,8,矢場町,9717187,0,1,1,,,,,,,,,2
2009,8,矢場町,9423672,0,1,1,,,,,,,,,2
2010,8,矢場町,9227119,0,1,1,,,,,,,,,2
2011,8,矢場町,9905717,0,1,1,,,,,,,,,2
2012,8,矢場町,10244577,0,1,1,,,,,,,,,2
2013,8,矢場町,10904141,0,1,1,,,,,,,,,2
2014,8,矢場町,10751482,0,1,1,,,,,,,,,2
2015,8,矢場町,11106226,0,1,1,,,,,,,,,2
1991,9,上前津,4933356,0,1,1,,,,,,,,,2
1992,9,上前津,4706763,0,1,1,,,,,,,,,2
1993,9,上前津,4497661,0,1,1,,,,,,,,,2
1994,9,上前津,4398858,0,1,1,,,,,,,,,2
1995,9,上前津,4349544,0,1,1,,,,,,,,,2
1996,9,上前津,4285490,0,1,1,,,,,,,,,2
1997,9,上前津,4217416,0,1,1,,,,,,,,,2
1998,9,上前津,3949280,0,1,1,,,,,,,,,2
1999,9,上前津,3880708,0,1,1,,,,,,,,,2
2000,9,上前津,3931397,0,1,1,,,,,,,,,2
2001,9,上前津,4310633,0,1,1,,,,,,,,,2
2002,9,上前津,4090467,0,1,1,,,,,,,,,2
2003,9,上前津,4377530,0,1,1,,,,,,,,,2
2004,9,上前津,4546384,0,1,1,,,,,,,,,2
2005,9,上前津,4544492,0,1,1,,,,,,,,,2
2006,9,上前津,4511417,0,1,1,,,,,,,,,2
2007,9,上前津,4570325,0,1,1,,,,,,,,,2
2008,9,上前津,4728601,0,1,1,,,,,,,,,2
2009,9,上前津,4639219,0,1,1,,,,,,,,,2
2010,9,上前津,4560347,0,1,1,,,,,,,,,2
2011,9,上前津,4973354,0,1,1,,,,,,,,,2
2012,9,上前津,5152526,0,1,1,,,,,,,,,2
2013,9,上前津,5263773,0,1,1,,,,,,,,,2
2014,9,上前津,5340444,0,1,1,,,,,,,,,2
2015,9,上前津,5456242,0,1,1,,,,,,,,,2
1991,10,東別院,2438291,0,1,1,,,,,,,,,2
1992,10,東別院,2138621,0,1,1,,,,,,,,,2
1993,10,東別院,2135001,0,1,1,,,,,,,,,2
1994,10,東別院,2007330,0,1,1,,,,,,,,,2
1995,10,東別院,2067789,0,1,1,,,,,,,,,2
1996,10,東別院,1896706,0,1,1,,,,,,,,,2
1997,10,東別院,1891538,0,1,1,,,,,,,,,2
1998,10,東別院,2077071,0,1,1,,,,,,,,,2
1999,10,東別院,1852251,0,1,1,,,,,,,,,2
2000,10,東別院,1872800,0,1,1,,,,,,,,,2
2001,10,東別院,2036258,0,1,1,,,,,,,,,2
2002,10,東別院,2251139,0,1,1,,,,,,,,,2
2003,10,東別院,2207262,0,1,1,,,,,,,,,2
2004,10,東別院,2122634,0,1,1,,,,,,,,,2
2005,10,東別院,2145686,0,1,1,,,,,,,,,2
2006,10,東別院,2192989,0,1,1,,,,,,,,,2
2007,10,東別院,2215608,0,1,1,,,,,,,,,2
2008,10,東別院,2225930,0,1,1,,,,,,,,,2
2009,10,東別院,2165077,0,1,1,,,,,,,,,2
2010,10,東別院,2088652,0,1,1,,,,,,,,,2
2011,10,東別院,2207090,0,1,1,,,,,,,,,2
2012,10,東別院,2259245,0,1,1,,,,,,,,,2
2013,10,東別院,2423445,0,1,1,,,,,,,,,2
2014,10,東別院,2551511,0,1,1,,,,,,,,,2
2015,10,東別院,2623983,0,1,1,,,,,,,,,2
1991,11,金山,19637929,0,1,1,,,,,,,,,2
1992,11,金山,20314968,0,1,1,,,,,,,,,2
1993,11,金山,20834260,0,1,1,,,,,,,,,2
1994,11,金山,20764191,0,1,1,,,,,,,,,2
1995,11,金山,21015810,0,1,1,,,,,,,,,2
1996,11,金山,20700347,0,1,1,,,,,,,,,2
1997,11,金山,21401824,0,1,1,,,,,,,,,2
1998,11,金山,20765557,0,1,1,,,,,,,,,2
1999,11,金山,20599501,0,1,1,,,,,,,,,2
2000,11,金山,19691286,0,1,1,,,,,,,,,2
2001,11,金山,23113882,0,1,1,,,,,,,,,2
2002,11,金山,22333720,0,1,1,,,,,,,,,2
2003,11,金山,21991697,0,1,1,,,,,,,,,2
2004,11,金山,22477170,0,1,1,,,,,,,,,2
2005,11,金山,24684681,0,1,1,,,,,,,,,2
2006,11,金山,25212278,0,1,1,,,,,,,,,2
2007,11,金山,25803631,0,1,1,,,,,,,,,2
2008,11,金山,26029501,0,1,1,,,,,,,,,2
2009,11,金山,25595599,0,1,1,,,,,,,,,2
2010,11,金山,25844705,0,1,1,,,,,,,,,2
2011,11,金山,26548082,0,1,1,,,,,,,,,2
2012,11,金山,27117504,0,1,1,,,,,,,,,2
2013,11,金山,27774461,0,1,1,,,,,,,,,2
2014,11,金山,28120101,0,1,1,,,,,,,,,2
2015,11,金山,29042075,0,1,1,,,,,,,,,2
1991,12,日比野,1860686,0,,1,,,,,,,,,1
1992,12,日比野,2146031,0,,1,,,,,,,,,1
1993,12,日比野,2221659,0,,1,,,,,,,,,1
1994,12,日比野,2844134,0,,1,,,,,,,,,1
1995,12,日比野,2507505,0,,1,,,,,,,,,1
1996,12,日比野,2071448,0,,1,,,,,,,,,1
1997,12,日比野,2770163,0,,1,,,,,,,,,1
1998,12,日比野,2725913,0,,1,,,,,,,,,1
1999,12,日比野,2592207,0,,1,,,,,,,,,1
2000,12,日比野,2078506,0,,1,,,,,,,,,1
2001,12,日比野,2744114,0,,1,,,,,,,,,1
2002,12,日比野,2354854,0,,1,,,,,,,,,1
2003,12,日比野,2624532,0,,1,,,,,,,,,1
2004,12,日比野,2471462,0,,1,,,,,,,,,1
2005,12,日比野,2503953,0,,1,,,,,,,,,1
2006,12,日比野,2566025,0,,1,,,,,,,,,1
2007,12,日比野,2980374,0,,1,,,,,,,,,1
2008,12,日比野,3017778,0,,1,,,,,,,,,1
2009,12,日比野,2929898,0,,1,,,,,,,,,1
2010,12,日比野,3036995,0,,1,,,,,,,,,1
2011,12,日比野,2951124,0,,1,,,,,,,,,1
2012,12,日比野,2992533,0,,1,,,,,,,,,1
2013,12,日比野,3001427,0,,1,,,,,,,,,1
2014,12,日比野,3040931,0,,1,,,,,,,,,1
2015,12,日比野,3132906,0,,1,,,,,,,,,1
1991,13,六番町,2811426,0,,1,,,,,,,,,1
1992,13,六番町,2736020,0,,1,,,,,,,,,1
1993,13,六番町,2727668,0,,1,,,,,,,,,1
1994,13,六番町,2608352,0,,1,,,,,,,,,1
1995,13,六番町,2623429,0,,1,,,,,,,,,1
1996,13,六番町,2547279,0,,1,,,,,,,,,1
1997,13,六番町,2565739,0,,1,,,,,,,,,1
1998,13,六番町,2549452,0,,1,,,,,,,,,1
1999,13,六番町,2400529,0,,1,,,,,,,,,1
2000,13,六番町,2346518,0,,1,,,,,,,,,1
2001,13,六番町,2405632,0,,1,,,,,,,,,1
2002,13,六番町,2476129,0,,1,,,,,,,,,1
2003,13,六番町,2609251,0,,1,,,,,,,,,1
2004,13,六番町,2413042,0,,1,,,,,,,,,1
2005,13,六番町,2456370,0,,1,,,,,,,,,1
2006,13,六番町,2465241,0,,1,,,,,,,,,1
2007,13,六番町,2419931,0,,1,,,,,,,,,1
2008,13,六番町,2424660,0,,1,,,,,,,,,1
2009,13,六番町,2376032,0,,1,,,,,,,,,1
2010,13,六番町,2353540,0,,1,,,,,,,,,1
2011,13,六番町,2365291,0,,1,,,,,,,,,1
2012,13,六番町,2438644,0,,1,,,,,,,,,1
2013,13,六番町,2531790,0,,1,,,,,,,,,1
2014,13,六番町,2547548,0,,1,,,,,,,,,1
2015,13,六番町,2611112,0,,1,,,,,,,,,1
1991,14,東海通,2952203,0,,1,,,,,,,,,1
1992,14,東海通,2826896,0,,1,,,,,,,,,1
1993,14,東海通,2770577,0,,1,,,,,,,,,1
1994,14,東海通,2635375,0,,1,,,,,,,,,1
1995,14,東海通,2653364,0,,1,,,,,,,,,1
1996,14,東海通,2604885,0,,1,,,,,,,,,1
1997,14,東海通,2606175,0,,1,,,,,,,,,1
1998,14,東海通,2547371,0,,1,,,,,,,,,1
1999,14,東海通,2454863,0,,1,,,,,,,,,1
2000,14,東海通,2453736,0,,1,,,,,,,,,1
2001,14,東海通,2668439,0,,1,,,,,,,,,1
2002,14,東海通,2661900,0,,1,,,,,,,,,1
2003,14,東海通,2965072,0,,1,,,,,,,,,1
2004,14,東海通,2655489,0,,1,,,,,,,,,1
2005,14,東海通,2605612,0,,1,,,,,,,,,1
2006,14,東海通,2615860,0,,1,,,,,,,,,1
2007,14,東海通,2602855,0,,1,,,,,,,,,1
2008,14,東海通,2560618,0,,1,,,,,,,,,1
2009,14,東海通,2472060,0,,1,,,,,,,,,1
2010,14,東海通,2433599,0,,1,,,,,,,,,1
2011,14,東海通,2444649,0,,1,,,,,,,,,1
2012,14,東海通,2473567,0,,1,,,,,,,,,1
2013,14,東海通,2560475,0,,1,,,,,,,,,1
2014,14,東海通,2558937,0,,1,,,,,,,,,1
2015,14,東海通,2506306,0,,1,,,,,,,,,1
1991,15,港区役所,849937,1,,1,,,,,,,,,1
1992,15,港区役所,837886,1,,1,,,,,,,,,1
1993,15,港区役所,879265,1,,1,,,,,,,,,1
1994,15,港区役所,966903,1,,1,,,,,,,,,1
1995,15,港区役所,1044563,1,,1,,,,,,,,,1
1996,15,港区役所,1136381,1,,1,,,,,,,,,1
1997,15,港区役所,1112807,1,,1,,,,,,,,,1
1998,15,港区役所,1232419,1,,1,,,,,,,,,1
1999,15,港区役所,1268600,1,,1,,,,,,,,,1
2000,15,港区役所,1276670,1,,1,,,,,,,,,1
2001,15,港区役所,1296772,1,,1,,,,,,,,,1
2002,15,港区役所,1399449,1,,1,,,,,,,,,1
2003,15,港区役所,1359338,1,,1,,,,,,,,,1
2004,15,港区役所,1278142,1,,1,,,,,,,,,1
2005,15,港区役所,1301743,1,,1,,,,,,,,,1
2006,15,港区役所,1275365,1,,1,,,,,,,,,1
2007,15,港区役所,1217956,1,,1,,,,,,,,,1
2008,15,港区役所,1235690,1,,1,,,,,,,,,1
2009,15,港区役所,1229484,1,,1,,,,,,,,,1
2010,15,港区役所,1234569,1,,1,,,,,,,,,1
2011,15,港区役所,1192325,1,,1,,,,,,,,,1
2012,15,港区役所,1235863,1,,1,,,,,,,,,1
2013,15,港区役所,1245221,1,,1,,,,,,,,,1
2014,15,港区役所,1251863,1,,1,,,,,,,,,1
2015,15,港区役所,1300585,1,,1,,,,,,,,,1
1991,16,築地口,2446341,0,,1,,,,,,,,,1
1992,16,築地口,2323239,0,,1,,,,,,,,,1
1993,16,築地口,2304829,0,,1,,,,,,,,,1
1994,16,築地口,2353653,0,,1,,,,,,,,,1
1995,16,築地口,2372821,0,,1,,,,,,,,,1
1996,16,築地口,2320127,0,,1,,,,,,,,,1
1997,16,築地口,2298833,0,,1,,,,,,,,,1
1998,16,築地口,2216389,0,,1,,,,,,,,,1
1999,16,築地口,2247871,0,,1,,,,,,,,,1
2000,16,築地口,2055212,0,,1,,,,,,,,,1
2001,16,築地口,2383867,0,,1,,,,,,,,,1
2002,16,築地口,2153216,0,,1,,,,,,,,,1
2003,16,築地口,2217357,0,,1,,,,,,,,,1
2004,16,築地口,1980595,0,,1,,,,,,,,,1
2005,16,築地口,1808560,0,,1,,,,,,,,,1
2006,16,築地口,1980426,0,,1,,,,,,,,,1
2007,16,築地口,2053002,0,,1,,,,,,,,,1
2008,16,築地口,2038146,0,,1,,,,,,,,,1
2009,16,築地口,1964549,0,,1,,,,,,,,,1
2010,16,築地口,1922316,0,,1,,,,,,,,,1
2011,16,築地口,1900321,0,,1,,,,,,,,,1
2012,16,築地口,1873192,0,,1,,,,,,,,,1
2013,16,築地口,1872669,0,,1,,,,,,,,,1
2014,16,築地口,1851985,0,,1,,,,,,,,,1
2015,16,築地口,1827267,0,,1,,,,,,,,,1
1991,17,名古屋港,1408588,0,,1,,,,,,,,,1
1992,17,名古屋港,1762661,0,,1,,,,,,,,,1
1993,17,名古屋港,2183765,0,,1,,,,,,,,,1
1994,17,名古屋港,2110787,0,,1,,,,,,,,,1
1995,17,名古屋港,1751826,0,,1,,,,,,,,,1
1996,17,名古屋港,1560944,0,,1,,,,,,,,,1
1997,17,名古屋港,1736743,0,,1,,,,,,,,,1
1998,17,名古屋港,1503918,0,,1,,,,,,,,,1
1999,17,名古屋港,1928692,0,,1,,,,,,,,,1
2000,17,名古屋港,1378370,0,,1,,,,,,,,,1
2001,17,名古屋港,2410864,0,,1,,,,,,,,,1
2002,17,名古屋港,1979524,0,,1,,,,,,,,,1
2003,17,名古屋港,1595719,0,,1,,,,,,,,,1
2004,17,名古屋港,1721198,0,,1,,,,,,,,,1
2005,17,名古屋港,2334880,0,,1,,,,,,,,,1
2006,17,名古屋港,2064326,0,,1,,,,,,,,,1
2007,17,名古屋港,2078925,0,,1,,,,,,,,,1
2008,17,名古屋港,1852687,0,,1,,,,,,,,,1
2009,17,名古屋港,1734760,0,,1,,,,,,,,,1
2010,17,名古屋港,1690582,0,,1,,,,,,,,,1
2011,17,名古屋港,1724879,0,,1,,,,,,,,,1
2012,17,名古屋港,1805078,0,,1,,,,,,,,,1
2013,17,名古屋港,1901465,0,,1,,,,,,,,,1
2014,17,名古屋港,1861300,0,,1,,,,,,,,,1
2015,17,名古屋港,1944235,0,,1,,,,,,,,,1
1991,18,西高蔵,716183,0,1,,,,,,,,,,1
1992,18,西高蔵,731456,0,1,,,,,,,,,,1
1993,18,西高蔵,742178,0,1,,,,,,,,,,1
1994,18,西高蔵,848223,0,1,,,,,,,,,,1
1995,18,西高蔵,1003951,0,1,,,,,,,,,,1
1996,18,西高蔵,890735,0,1,,,,,,,,,,1
1997,18,西高蔵,1158076,0,1,,,,,,,,,,1
1998,18,西高蔵,949754,0,1,,,,,,,,,,1
1999,18,西高蔵,869717,0,1,,,,,,,,,,1
2000,18,西高蔵,813212,0,1,,,,,,,,,,1
2001,18,西高蔵,842307,0,1,,,,,,,,,,1
2002,18,西高蔵,824812,0,1,,,,,,,,,,1
2003,18,西高蔵,963860,0,1,,,,,,,,,,1
2004,18,西高蔵,851232,0,1,,,,,,,,,,1
2005,18,西高蔵,894147,0,1,,,,,,,,,,1
2006,18,西高蔵,890593,0,1,,,,,,,,,,1
2007,18,西高蔵,934733,0,1,,,,,,,,,,1
2008,18,西高蔵,953388,0,1,,,,,,,,,,1
2009,18,西高蔵,932909,0,1,,,,,,,,,,1
2010,18,西高蔵,1021312,0,1,,,,,,,,,,1
2011,18,西高蔵,1070495,0,1,,,,,,,,,,1
2012,18,西高蔵,1083918,0,1,,,,,,,,,,1
2013,18,西高蔵,1120684,0,1,,,,,,,,,,1
2014,18,西高蔵,1157186,0,1,,,,,,,,,,1
2015,18,西高蔵,1209685,0,1,,,,,,,,,,1
